,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|0x0|0x2|1x0|1x1|0o1|1o2|2o0|2o2,0,0,0,0,0,0,0,0,0.0
S|0x0|0x2|1x0|1x1|2x1|0o1|1o2|2o0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o1|2o0,7.49290776942009e-11,0,1.5454814128200378e-09,0,7.467926558659038e-11,1.2703978916256137e-10,3.2532551896862503e-11,0,0
S|1x1|1x2|2x1|0o1|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o1|0o2|2o0,0,0,0,0,0,0,0.7,0,0
S|1x0|1x1|1x2|2x1|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|0o2,0,0,0,0,0,0,0,0,0
S|1x1|1x2|0o1|0o2,0.48291609334738805,0,0,0,0,-1,0.7,-1,-1
S|1x1|1x2|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x2|0o1|0o2|1o0,0.7,0,0,0,0,0,0,-1,0
S|0x0|1x1|1x2|2x2|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o0|0o1|2o0,0,0,0,0,0,0,0.7,0,0
S|1x0|1x1|1x2|2x1|0o0|0o1|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1x2|0o0|0o2,0,0.5879330584576901,0,0,0,-1,0.7,-1,-1
S|0x1|1x1|1x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|0o0|0o2|2o1,0,0,0,0,0,0,0.7,0.0,0
S|0x1|1x0|1x1|1x2|0o0|0o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|1x2|2x1|0o1|2o0|2o2,0.025194814079373126,0,0.0,0,0,0,0.7,0,0
S|0x0|1x1|1x2|2x1|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x1|0o1|0o2|2o0|2o2,0,0,0,0,0,0,0.7,0,0
S|0x0|1x0|1x1|1x2|2x1|0o1|0o2|2o0|2o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x1|0o0|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x1|0o0|0o2|2o0,0,0.7,0,0,0.7,-1,0,0,0
S|1x0|1x1|2x1|2x2|0o0|0o2|2o0,0,0,0,0,0,0,0,0,0
